Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
39463022,6/15/18 0:00,6/15/18 2:20,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11216,308 QUINCY STREET,QUINCY STREET,NOSTRAND AVENUE,MARCY AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/15/18 8:00,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 0:15,03 BROOKLYN,3018080034,BROOKLYN,998405,189626,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68714502,-73.94896051,"(40.687145018241, -73.948960510402)"
39460739,6/15/18 0:01,6/15/18 1:12,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11211,219 SOUTH 3 STREET,SOUTH 3 STREET,ROEBLING STREET,HAVEMEYER STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/15/18 8:01,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:12,01 BROOKLYN,3024200039,BROOKLYN,995691,198367,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.71114094,-73.95873168,"(40.711140944829, -73.958731684594)"
39461846,6/15/18 0:02,6/15/18 1:23,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10025,,,,,WEST   96 STREET,WEST END AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,6/15/18 8:02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 1:23,07 MANHATTAN,,MANHATTAN,991668,229010,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79525249,-73.97320906,"(40.7952524853, -73.973209060361)"
39465753,6/15/18 0:03,6/15/18 1:47,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,249 ELDRIDGE STREET,ELDRIDGE STREET,STANTON STREET,EAST HOUSTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 1:47,03 MANHATTAN,1004227502,MANHATTAN,987141,202632,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72285427,-73.98957017,"(40.722854271915, -73.989570171769)"
39459930,6/15/18 0:03,6/15/18 0:20,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10010,148 EAST 24 STREET,EAST 24 STREET,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:03,The Police Department issued a summons in response to the complaint.,6/15/18 0:20,06 MANHATTAN,1008797503,MANHATTAN,988719,208877,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73999461,-73.98387309,"(40.739994609164, -73.983873091156)"
39464526,6/15/18 0:03,6/15/18 1:25,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033,583 WEST 177 STREET,WEST 177 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:03,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:25,12 MANHATTAN,1021330087,MANHATTAN,1002200,247696,PHONE,Unspecified,MANHATTAN,,,,,,,,40.84652515,-73.93512159,"(40.846525146495, -73.935121586445)"
39460188,6/15/18 0:05,6/15/18 1:08,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11204,64 STREET,64 STREET,20 AVENUE,21 AVENUE,,,BLOCKFACE,BROOKLYN,,Precinct,Closed,6/15/18 8:05,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:08,11 BROOKLYN,,BROOKLYN,988618,163898,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61653751,-73.98426671,"(40.616537505356, -73.984266714209)"
39460738,6/15/18 0:07,6/15/18 1:34,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10012,,,,,EAST HOUSTON STREET,MOTT STREET,INTERSECTION,NEW YORK,,Precinct,Closed,6/15/18 8:07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 1:34,02 MANHATTAN,,MANHATTAN,985863,203302,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72469358,-73.99418064,"(40.724693584927, -73.994180637418)"
39461463,6/15/18 0:07,6/15/18 1:43,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10306,1272 MASON AVENUE,MASON AVENUE,LINCOLN AVENUE,GREELEY AVENUE,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,6/15/18 8:07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 1:43,02 STATEN ISLAND,5038170010,STATEN ISLAND,956674,148139,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.57324041,-74.09926281,"(40.573240414489, -74.099262808624)"
39465682,6/15/18 0:08,6/15/18 1:37,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10453,2170 CRESTON AVENUE,CRESTON AVENUE,EAST 181 STREET,EAST 182 STREET,,,ADDRESS,BRONX,,Precinct,Closed,6/15/18 8:08,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:37,05 BRONX,2031620009,BRONX,1011201,250902,PHONE,Unspecified,BRONX,,,,,,,,40.85530178,-73.90257554,"(40.855301775724, -73.90257553997)"
